State,County,Number of Hospitals,Percent private or nonprofit,number of acute care hospitals,avg acute care rating,median acute care rating
AZ,YAVAPAI,2,50,2,4.0,4.0
OK,BLAINE,2,0,0,nan,nan
CT,LITCHFIELD,2,50,2,2.5,2.5
AK,SITKA,2,50,0,nan,nan
FL,SAINT LUCIE,2,0,2,1.0,1.0
LA,ALLEN,2,0,2,3.0,3.0
WI,WALWORTH,2,100,1,4.5,4.5
MO,CAPE GIRARDEAU,2,50,2,2.5,2.5
UT,WEBER,2,50,2,3.5,3.5
KS,BUTLER,2,50,2,4.0,4.0
WI,WASHINGTON,2,100,2,3.5,3.5
MI,CALHOUN,2,0,2,4.5,4.5
PR,ARECIBO,2,50,2,nan,nan
MI,HOUGHTON,2,50,1,3.0,3.0
FL,HIGHLANDS,2,0,2,2.5,2.5
NH,CARROLL,2,100,0,3.5,3.5
TX,ELLIS,2,50,2,4.5,4.5
IA,WRIGHT,2,0,0,4.0,4.0
KS,CHEROKEE,2,0,1,5.0,5.0
IA,FAYETTE,2,50,0,nan,nan
AL,MADISON,2,0,2,2.0,2.0
GA,GWINNETT,2,0,2,3.0,3.0
NE,YORK,2,100,0,4.0,4.0
KS,LEAVENWORTH,2,50,2,4.0,4.0
TX,ANGELINA,2,50,2,4.0,4.0
LA,CALDWELL,2,0,2,4.0,4.0
KY,BELL,2,50,2,2.5,2.5
ND,WALSH,2,50,0,nan,nan
VA,CHESTERFIELD,2,0,2,3.0,3.0
TX,VICTORIA,2,0,2,3.5,3.5
FL,SEMINOLE,2,0,2,2.0,2.0
GA,CARROLL,2,0,2,2.5,2.5
TX,ECTOR,2,0,2,2.0,2.0
IL,ROCK ISLAND,2,0,2,2.5,2.5
LA,VERMILION,2,0,1,3.0,3.0
FL,COLUMBIA,2,100,2,3.5,3.5
NY,ALLEGANY,2,100,1,2.0,2.0
WA,CLARK,2,100,2,2.5,2.5
OH,WASHINGTON,2,50,1,1.0,1.0
AR,MISSISSIPPI,2,0,1,1.0,1.0
SD,BON HOMME,2,0,0,nan,nan
LA,UNION,2,50,0,3.0,3.0
WA,THURSTON,2,100,2,4.0,4.0
OK,CARTER,2,100,1,4.0,4.0
TX,TOM GREEN,2,50,2,4.0,4.0
NE,SALINE,2,50,0,4.0,4.0
NC,HENDERSON,2,50,2,4.5,4.5
VA,JAMES CITY,2,100,2,4.5,4.5
TX,WEBB,2,0,2,3.0,3.0
PR,FAJARDO,2,0,2,nan,nan
AR,FAULKNER,2,100,2,2.0,2.0
OK,OKMULGEE,2,0,2,3.0,3.0
ND,MCINTOSH,2,50,0,nan,nan
PA,CLEARFIELD,2,0,2,3.0,3.0
MN,COTTONWOOD,2,50,0,3.0,3.0
IL,WHITESIDE,2,0,1,4.0,4.0
MN,LINCOLN,2,100,0,nan,nan
ME,OXFORD,2,100,0,3.0,3.0
ME,WASHINGTON,2,100,0,4.0,4.0
OH,TRUMBULL,2,0,2,3.0,3.0
PA,FRANKLIN,2,100,2,3.5,3.5
VA,HENRICO,2,0,2,4.5,4.5
KS,NEMAHA,2,100,0,4.0,4.0
NM,SAN JUAN,2,50,2,2.5,2.5
SC,BEAUFORT,2,0,2,3.0,3.0
NY,DUTCHESS,2,100,2,2.0,2.0
OK,PONTOTOC,2,50,2,3.0,3.0
MN,OTTER TAIL,2,50,1,4.5,4.5
NM,OTERO,2,50,2,3.0,3.0
NY,CHEMUNG,2,100,2,3.0,3.0
ID,BONNEVILLE,2,0,2,4.5,4.5
KS,CRAWFORD,2,50,1,2.5,2.5
FL,LEON,2,50,2,3.0,3.0
MI,KALAMAZOO,2,50,2,4.5,4.5
MT,YELLOWSTONE,2,50,2,4.0,4.0
NC,NEW HANOVER,2,50,2,2.0,2.0
OR,DOUGLAS,2,0,1,3.0,3.0
TX,TAYLOR,2,50,2,3.5,3.5
UT,DAVIS,2,0,2,3.0,3.0
CA,SISKIYOU,2,0,0,2.5,2.5
NJ,WARREN,2,0,2,3.5,3.5
WA,WHITMAN,2,0,0,5.0,5.0
IA,SCOTT,2,50,2,3.0,3.0
OH,MEDINA,2,100,1,4.0,4.0
OR,LINCOLN,2,100,0,3.0,3.0
